Name,Sex,NOC,Year,Sport,Event,Medal,GDP,Population
Jean Lucien Nicolas Jacoby,M,LUX,1928,Art Competitions,"Art Competitions Mixed Painting, Drawings And Water Colors",Gold,N/A,N/A
Anton Oving Orla Jrgensen,M,DEN,1928,Cycling,"Cycling Men's Road Race, Team",Gold,N/A,N/A
Osvald (-Oswald) Kpp,M,EST,1928,Wrestling,"Wrestling Men's Lightweight, Freestyle",Gold,N/A,N/A
Lajos Keresztes,M,HUN,1928,Wrestling,"Wrestling Men's Lightweight, Greco-Roman",Gold,N/A,N/A
"Feroz-ud-Din ""Feroze"" Khan",M,IND,1928,Hockey,Hockey Men's Hockey,Gold,N/A,N/A
"Robert Wade ""Bob"" King",M,USA,1928,Athletics,Athletics Men's High Jump,Gold,N/A,N/A
Antal Kocsis,M,HUN,1928,Boxing,Boxing Men's Flyweight,Gold,N/A,N/A
George Harold Kojac,M,USA,1928,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay,Gold,N/A,N/A
George Harold Kojac,M,USA,1928,Swimming,Swimming Men's 100 metres Backstroke,Gold,N/A,N/A
Vin Anselmi Kokkinen,M,FIN,1928,Wrestling,"Wrestling Men's Middleweight, Greco-Roman",Gold,N/A,N/A
"Halina (Leonarda Kazimiera-) Konopacka (-Matuszewska, -Szczerbiska, -Stowe)",F,POL,1928,Athletics,Athletics Women's Discus Throw,Gold,N/A,N/A
"John Henry ""Johnny"" Kuck",M,USA,1928,Athletics,Athletics Men's Shot Put,Gold,N/A,N/A
Ernst Kyburz,M,SUI,1928,Wrestling,"Wrestling Men's Middleweight, Freestyle",Gold,N/A,N/A
"Susanne E. ""Susan"" Laird (-Scavey)",F,USA,1928,Swimming,Swimming Women's 4 x 100 metres Freestyle Relay,Gold,N/A,N/A
Adelaide T. Lambert (-Ballard),F,USA,1928,Swimming,Swimming Women's 4 x 100 metres Freestyle Relay,Gold,N/A,N/A
John Gerard Heath Lander,M,GBR,1928,Rowing,Rowing Men's Coxless Fours,Gold,N/A,N/A
Paul Maximilien Landowski,M,FRA,1928,Art Competitions,"Art Competitions Mixed Sculpturing, Statues",Gold,N/A,N/A
"Harry Edvin ""Harri"" Larva (Lagerstrm-)",M,FIN,1928,Athletics,"Athletics Men's 1,500 metres",Gold,N/A,N/A
Walter Laufer,M,USA,1928,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay,Gold,N/A,N/A
"Bernardus Petrus ""Bernard"" Leene",M,NED,1928,Cycling,"Cycling Men's Tandem Sprint, 2,000 metres",Gold,N/A,N/A
Andr Paul Henri Nol Lesauvage,M,FRA,1928,Sailing,Sailing Mixed 8 metres,Gold,N/A,N/A
Jean Lesieur,M,FRA,1928,Sailing,Sailing Mixed 8 metres,Gold,N/A,N/A
Kurt Leucht,M,GER,1928,Wrestling,"Wrestling Men's Bantamweight, Greco-Roman",Gold,N/A,N/A
Hermann Linkenbach,M,GER,1928,Equestrianism,"Equestrianism Men's Dressage, Team",Gold,N/A,N/A
Toivo Aarne Loukola,M,FIN,1928,Athletics,"Athletics Men's 3,000 metres Steeplechase",Gold,N/A,N/A
Douglas Gordon Arthur Lowe,M,GBR,1928,Athletics,Athletics Men's 800 metres,Gold,N/A,N/A
Erik Hjalmar Lundqvist,M,SWE,1928,Athletics,Athletics Men's Javelin Throw,Gold,N/A,N/A
Mario Lusiani,M,ITA,1928,Cycling,"Cycling Men's Team Pursuit, 4,000 metres",Gold,N/A,N/A
Eugen Mack,M,SUI,1928,Gymnastics,Gymnastics Men's Team All-Around,Gold,N/A,N/A
Eugen Mack,M,SUI,1928,Gymnastics,Gymnastics Men's Horse Vault,Gold,N/A,N/A
Kaarlo Edvin Mkinen,M,FIN,1928,Wrestling,"Wrestling Men's Bantamweight, Freestyle",Gold,N/A,N/A
George Eric McCarthy Marthins,M,IND,1928,Hockey,Hockey Men's Hockey,Gold,N/A,N/A
Helene Mayer (-Falkner von Sonnenburg),F,GER,1928,Fencing,"Fencing Women's Foil, Individual",Gold,N/A,N/A
Andrs Mazzali,M,URU,1928,Football,Football Men's Football,Gold,,
"Charles Joseph ""Charley"" McIlvaine, Sr.",M,USA,1928,Rowing,Rowing Men's Double Sculls,Gold,N/A,N/A
Josephine Eveline McKim (-Chalmers),F,USA,1928,Swimming,Swimming Women's 4 x 100 metres Freestyle Relay,Gold,N/A,N/A
"Helen Meany (-Balfe, -Gravis)",F,USA,1928,Diving,Diving Women's Springboard,Gold,N/A,N/A
Ferenc Mez (Grnfeld-),M,HUN,1928,Art Competitions,"Art Competitions Mixed Literature, Epic Works",Gold,N/A,N/A
"Georg ""Georges"" Miez",M,SUI,1928,Gymnastics,Gymnastics Men's Individual All-Around,Gold,N/A,N/A
"Georg ""Georges"" Miez",M,SUI,1928,Gymnastics,Gymnastics Men's Team All-Around,Gold,N/A,N/A
"Georg ""Georges"" Miez",M,SUI,1928,Gymnastics,Gymnastics Men's Horizontal Bar,Gold,N/A,N/A
Renzo Minoli,M,ITA,1928,Fencing,"Fencing Men's epee, Team",Gold,N/A,N/A
Kurt Moeschter,M,GER,1928,Rowing,Rowing Men's Coxless Pairs,Gold,N/A,N/A
"Edward ""Ted"" Morgan",M,NZL,1928,Boxing,Boxing Men's Welterweight,Gold,N/A,N/A
"Alvin Roy ""Allie"" Morrison",M,USA,1928,Wrestling,"Wrestling Men's Featherweight, Freestyle",Gold,N/A,N/A
Ibrahim Moustafa,M,EGY,1928,Wrestling,"Wrestling Men's Light-Heavyweight, Greco-Roman",Gold,N/A,N/A
Bruno Mller,M,GER,1928,Rowing,Rowing Men's Coxless Pairs,Gold,N/A,N/A
Jos Nasazzi Yarza,M,URU,1928,Football,Football Men's Football,Gold,,
Jos Navarro Morenes,M,ESP,1928,Equestrianism,"Equestrianism Men's Jumping, Team",Gold,N/A,N/A
William Newzam Prior Nicholson,M,GBR,1928,Art Competitions,"Art Competitions Mixed Painting, Graphic Arts",Gold,N/A,N/A
Carl Leo Holger Nielsen,M,DEN,1928,Cycling,"Cycling Men's Road Race, Team",Gold,N/A,N/A
"Helena ""Lea"" Nordheim (-Kloot)",F,NED,1928,Gymnastics,Gymnastics Women's Team All-Around,Gold,N/A,N/A
"Martha (Mrta) Maria Norelius (-McAllister, -Wright, -Brown)",F,USA,1928,Swimming,Swimming Women's 400 metres Freestyle,Gold,N/A,N/A
"Martha (Mrta) Maria Norelius (-McAllister, -Wright, -Brown)",F,USA,1928,Swimming,Swimming Women's 4 x 100 metres Freestyle Relay,Gold,N/A,N/A
"Richard Alexander ""Rex"" Norris",M,IND,1928,Hockey,Hockey Men's Hockey,Gold,N/A,N/A
El-Sayed Mohamed Nosseir,M,EGY,1928,Weightlifting,Weightlifting Men's Light-Heavyweight,Gold,N/A,N/A
Paavo Johannes Nurmi,M,FIN,1928,Athletics,"Athletics Men's 10,000 metres",Gold,N/A,N/A
"Patrick ""Pat"" O'Callaghan",M,IRL,1928,Athletics,Athletics Men's Hammer Throw,Gold,N/A,N/A
Mikio Oda,M,JPN,1928,Athletics,Athletics Men's Triple Jump,Gold,N/A,N/A
Crown Prince Olav Alexander Edward Christian Frederik,M,NOR,1928,Sailing,Sailing Mixed 6 metres,Gold,N/A,N/A
Carlo Orlandi,M,ITA,1928,Boxing,Boxing Men's Lightweight,Gold,N/A,N/A
Albina Lucy Charlotte Osipowich (-Van Aken),F,USA,1928,Swimming,Swimming Women's 100 metres Freestyle,Gold,N/A,N/A
Albina Lucy Charlotte Osipowich (-Van Aken),F,USA,1928,Swimming,Swimming Women's 4 x 100 metres Freestyle Relay,Gold,N/A,N/A
Charles Ferdinand Pahud de Mortanges,M,NED,1928,Equestrianism,"Equestrianism Men's Three-Day Event, Individual",Gold,N/A,N/A
Charles Ferdinand Pahud de Mortanges,M,NED,1928,Equestrianism,"Equestrianism Men's Three-Day Event, Team",Gold,N/A,N/A
"Henry Robert ""Bobby"" Pearce",M,AUS,1928,Rowing,Rowing Men's Single Sculls,Gold,N/A,N/A
Valerio Perentin,M,ITA,1928,Rowing,Rowing Men's Coxed Fours,Gold,N/A,N/A
Giorgio Pessina,M,ITA,1928,Fencing,"Fencing Men's Foil, Team",Gold,N/A,N/A
Pedro Petrone Schiavone,M,URU,1928,Football,Football Men's Football,Gold,,
Renato Petronio,M,ITA,1928,Rowing,Rowing Men's Coxed Fours,Gold,N/A,N/A
Attila Petschauer,M,HUN,1928,Fencing,"Fencing Men's Sabre, Team",Gold,N/A,N/A
Otto Pfister,M,SUI,1928,Gymnastics,Gymnastics Men's Team All-Around,Gold,N/A,N/A
"Maria Johanna ""Zus"" Philipsen-Braun",F,NED,1928,Swimming,Swimming Women's 100 metres Backstroke,Gold,N/A,N/A
Ugo Pignotti,M,ITA,1928,Fencing,"Fencing Men's Foil, Team",Gold,N/A,N/A
Broome Eric Pinniger,M,IND,1928,Hockey,Hockey Men's Hockey,Gold,N/A,N/A
Juan Emilio Priz,M,URU,1928,Football,Football Men's Football,Gold,,
"Anna ""Ans"" Polak (-Dresden)",F,NED,1928,Gymnastics,Gymnastics Women's Team All-Around,Gold,N/A,N/A
Oreste Puliti,M,ITA,1928,Fencing,"Fencing Men's Foil, Team",Gold,N/A,N/A
"James Francis ""Jimmy"" Quinn",M,USA,1928,Athletics,Athletics Men's 4 x 100 metres Relay,Gold,N/A,N/A
Fritz Albert Erich Rademacher,M,GER,1928,Water Polo,Water Polo Men's Water Polo,Gold,N/A,N/A
Joachim Rademacher,M,GER,1928,Water Polo,Water Polo Men's Water Polo,Gold,N/A,N/A
"Karoline ""Lina"" Radke-Batschauer",F,GER,1928,Athletics,Athletics Women's 800 metres,Gold,N/A,N/A
Jzsef Rdy,M,HUN,1928,Fencing,"Fencing Men's Sabre, Team",Gold,N/A,N/A
Franco Riccardi,M,ITA,1928,Fencing,"Fencing Men's epee, Team",Gold,N/A,N/A
Johan Cornelius Richthoff,M,SWE,1928,Wrestling,"Wrestling Men's Heavyweight, Freestyle",Gold,N/A,N/A
"Viljo Eino ""Ville"" Ritola (Koukkari-)",M,FIN,1928,Athletics,"Athletics Men's 5,000 metres",Gold,N/A,N/A
"Elizabeth M. ""Betty"" Robinson (-Schwartz)",F,USA,1928,Athletics,Athletics Women's 100 metres,Gold,N/A,N/A
Michael E. Rocque,M,IND,1928,Hockey,Hockey Men's Hockey,Gold,N/A,N/A
Arturo J. Rodrguez Jurado,M,ARG,1928,Boxing,Boxing Men's Heavyweight,Gold,N/A,N/A
"Fanny ""Bobby"" Rosenfeld",F,CAN,1928,Athletics,Athletics Women's 4 x 100 metres Relay,Gold,N/A,N/A
"Henry Argue ""Hank"" Russell",M,USA,1928,Athletics,Athletics Men's 4 x 100 metres Relay,Gold,N/A,N/A
Paul Curkeet Samson,M,USA,1928,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay,Gold,N/A,N/A
Hctor Pedro Scarone Beretta,M,URU,1928,Football,Football Men's Football,Gold,,
Hans W. Schchlin,M,SUI,1928,Rowing,Rowing Men's Coxed Pairs,Gold,N/A,N/A
Karl F. Schchlin,M,SUI,1928,Rowing,Rowing Men's Coxed Pairs,Gold,N/A,N/A
"Hildegard ""Hilde"" Schrader (-Lux)",F,GER,1928,Swimming,Swimming Women's 200 metres Breaststroke,Gold,N/A,N/A
Frederick Stephen Seaman,M,IND,1928,Hockey,Hockey Men's Hockey,Gold,N/A,N/A
Jaipal Singh Munda,M,IND,1928,Hockey,Hockey Men's Hockey,Gold,N/A,N/A
"Ture Sigvard ""Thure"" Sjstedt",M,SWE,1928,Wrestling,"Wrestling Men's Light-Heavyweight, Freestyle",Gold,N/A,N/A
Ethel May Smith (-Stewart),F,CAN,1928,Athletics,Athletics Women's 4 x 100 metres Relay,Gold,N/A,N/A
Poul Bergenhammer Srensen,M,DEN,1928,Cycling,"Cycling Men's Road Race, Team",Gold,N/A,N/A
"Emerson Lane ""Bud"" Spencer",M,USA,1928,Athletics,Athletics Men's 4 x 400 metres Relay,Gold,N/A,N/A
Marvin Federick Stalder,M,USA,1928,Rowing,Rowing Men's Coxed Eights,Gold,N/A,N/A
"Eduard ""Edi"" Steinemann",M,SUI,1928,Gymnastics,Gymnastics Men's Team All-Around,Gold,N/A,N/A
"Jacoba Cornelia ""Co"" Stelma",F,NED,1928,Gymnastics,Gymnastics Women's Team All-Around,Gold,N/A,N/A
Josef Straberger,M,GER,1928,Weightlifting,Weightlifting Men's Heavyweight,Gold,N/A,N/A
Leon tukelj,M,YUG,1928,Gymnastics,Gymnastics Men's Rings,Gold,,
Johan Rudolf Svensson,M,SWE,1928,Wrestling,"Wrestling Men's Heavyweight, Greco-Roman",Gold,N/A,N/A
Vittorio Tamagnini,M,ITA,1928,Boxing,Boxing Men's Bantamweight,Gold,N/A,N/A
Luigi Tasselli,M,ITA,1928,Cycling,"Cycling Men's Team Pursuit, 4,000 metres",Gold,N/A,N/A
Sven Alfred Thofelt,M,SWE,1928,Modern Pentathlon,Modern Pentathlon Men's Individual,Gold,N/A,N/A
"William Gluyas ""Bill"" Thompson",M,USA,1928,Rowing,Rowing Men's Coxed Eights,Gold,N/A,N/A
Sven Gustaf Thorell,M,SWE,1928,Sailing,Sailing Mixed One Person Dinghy,Gold,N/A,N/A
Piero Toscani,M,ITA,1928,Boxing,Boxing Men's Middleweight,Gold,N/A,N/A
Yoshiyuki Tsuruta,M,JPN,1928,Swimming,Swimming Men's 200 metres Breaststroke,Gold,N/A,N/A
Santos Vasquito Urdinarn Barrena,M,URU,1928,Football,Football Men's Football,Gold,,
Ladislav Vcha,M,TCH,1928,Gymnastics,Gymnastics Men's Parallel Bars,Gold,N/A,N/A
Voldemar Vli,M,EST,1928,Wrestling,"Wrestling Men's Featherweight, Greco-Roman",Gold,N/A,N/A
"Jacomina Elizabeth Sophia ""Mien"" van den Berg (-Schlee)",F,NED,1928,Gymnastics,Gymnastics Women's Team All-Around,Gold,N/A,N/A
"Alida Johanna ""Alie"" van den Bos",F,NED,1928,Gymnastics,Gymnastics Women's Team All-Around,Gold,N/A,N/A
"Anna Maria ""Annie"" van der Vegt (-Smeeman)",F,NED,1928,Gymnastics,Gymnastics Women's Team All-Around,Gold,N/A,N/A
Adolf Dirk Coenraad van der Voort van Zijp,M,NED,1928,Equestrianism,"Equestrianism Men's Three-Day Event, Team",Gold,N/A,N/A
"Daniel ""Daan"" van Dijk",M,NED,1928,Cycling,"Cycling Men's Tandem Sprint, 2,000 metres",Gold,N/A,N/A
"Lambertus ""Bep"" van Klaveren (Steenhorst-)",M,NED,1928,Boxing,Boxing Men's Featherweight,Gold,N/A,N/A
"Petronella Phillemina Johanna ""Nel"" van Randwijk (-de Pater)",F,NED,1928,Gymnastics,Gymnastics Women's Team All-Around,Gold,N/A,N/A
Hendrika Alida van Rumt,F,NED,1928,Gymnastics,Gymnastics Women's Team All-Around,Gold,N/A,N/A
Frantiek Ventura,M,TCH,1928,Equestrianism,"Equestrianism Men's Jumping, Individual",Gold,N/A,N/A
Nicol Vittori,M,ITA,1928,Rowing,Rowing Men's Coxed Fours,Gold,N/A,N/A
Eugen Johan Anton Freiherr von Lotzbeck,M,GER,1928,Equestrianism,"Equestrianism Men's Dressage, Team",Gold,N/A,N/A
dn von Tersztynszky,M,HUN,1928,Fencing,"Fencing Men's Sabre, Individual",Gold,N/A,N/A
dn von Tersztynszky,M,HUN,1928,Fencing,"Fencing Men's Sabre, Team",Gold,N/A,N/A
Michael Henry Warriner,M,GBR,1928,Rowing,Rowing Men's Coxless Fours,Gold,N/A,N/A
"Peter Johann ""Johnny"" Weissmuller",M,USA,1928,Swimming,Swimming Men's 100 metres Freestyle,Gold,N/A,N/A
"Peter Johann ""Johnny"" Weissmuller",M,USA,1928,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay,Gold,N/A,N/A
Melchior Wezel,M,SUI,1928,Gymnastics,Gymnastics Men's Team All-Around,Gold,N/A,N/A
Kazimierz Wierzyski,M,POL,1928,Art Competitions,"Art Competitions Mixed Literature, Lyric Works",Gold,N/A,N/A
Percy Alfred Williams,M,CAN,1928,Athletics,Athletics Men's 100 metres,Gold,N/A,N/A
Percy Alfred Williams,M,CAN,1928,Athletics,Athletics Men's 200 metres,Gold,N/A,N/A
Jan Wils,M,NED,1928,Art Competitions,"Art Competitions Mixed Architecture, Architectural Designs",Gold,N/A,N/A
"James Theodore ""Jim"" Workman",M,USA,1928,Rowing,Rowing Men's Coxed Eights,Gold,N/A,N/A
Frank Clifford Wykoff,M,USA,1928,Athletics,Athletics Men's 4 x 100 metres Relay,Gold,N/A,N/A
David King Young,M,USA,1928,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay,Gold,N/A,N/A
Paavo Ilmari Yrjl,M,FIN,1928,Athletics,Athletics Men's Decathlon,Gold,N/A,N/A
Sayed Muhammad Yusuf,M,IND,1928,Hockey,Hockey Men's Hockey,Gold,N/A,N/A
Victoriano Alberto Zorrilla,M,ARG,1928,Swimming,Swimming Men's 400 metres Freestyle,Gold,N/A,N/A
"Edgar Allen ""Ed"" Ablowich",M,USA,1932,Athletics,Athletics Men's 4 x 400 metres Relay,Gold,N/A,N/A
Olle Erik Curys kerlund,M,SWE,1932,Sailing,Sailing Mixed 6 metres,Gold,N/A,N/A
Richard James Allen,M,IND,1932,Hockey,Hockey Men's Hockey,Gold,N/A,N/A
John Franklin Anderson,M,USA,1932,Athletics,Athletics Men's Discus Throw,Gold,N/A,N/A
"Edwin Yancey ""Eddie"" Argo",M,USA,1932,Equestrianism,"Equestrianism Men's Three-Day Event, Team",Gold,N/A,N/A
Sardar Mohammad Aslam,M,IND,1932,Hockey,Hockey Men's Hockey,Gold,N/A,N/A
"John Charles ""Felix"" Badcock",M,GBR,1932,Rowing,Rowing Men's Coxless Fours,Gold,N/A,N/A
Flix Pierre Victor Bailly,M,FRA,1932,Art Competitions,"Art Competitions Mixed Architecture, Architectural Designs",Gold,N/A,N/A
Istvn Barta (Berger),M,HUN,1932,Water Polo,Water Polo Men's Water Polo,Gold,N/A,N/A
"Carmine R. ""Carmen"" Barth (DiBartolomeo-)",M,USA,1932,Boxing,Boxing Men's Middleweight,Gold,N/A,N/A
"Raymond Henry ""Benny"" Bass",M,USA,1932,Gymnastics,Gymnastics Men's Rope Climbing,Gold,N/A,N/A
Paul Friedrich Peter Bauer,M,GER,1932,Art Competitions,Art Competitions Mixed Literature,Gold,N/A,N/A
"James Aloysius Bernard ""Jim"" Bausch",M,USA,1932,Athletics,Athletics Men's Decathlon,Gold,N/A,N/A
Luigi Beccali,M,ITA,1932,Athletics,"Athletics Men's 1,500 metres",Gold,N/A,N/A
Jack Beresford,M,GBR,1932,Rowing,Rowing Men's Coxless Fours,Gold,N/A,N/A
ke Carl Magnus Bergqvist,M,SWE,1932,Sailing,Sailing Mixed 6 metres,Gold,N/A,N/A
"John Edward Biby, Jr.",M,USA,1932,Sailing,Sailing Mixed 8 metres,Gold,N/A,N/A
Dallas Denver Bixler,M,USA,1932,Gymnastics,Gymnastics Men's Horizontal Bar,Gold,N/A,N/A
"James Howard ""Jim"" Blair",M,USA,1932,Rowing,Rowing Men's Coxed Eights,Gold,N/A,N/A
Lee Everett Blair,M,USA,1932,Art Competitions,"Art Competitions Mixed Painting, Drawings And Water Colors",Gold,N/A,N/A
Lal Shah S. Bokhari,M,IND,1932,Hockey,Hockey Men's Hockey,Gold,N/A,N/A
Ren Henri Georges Bondoux,M,FRA,1932,Fencing,"Fencing Men's Foil, Team",Gold,N/A,N/A
Nino Borsari,M,ITA,1932,Cycling,"Cycling Men's Team Pursuit, 4,000 metres",Gold,N/A,N/A
Ren Bougnol,M,FRA,1932,Fencing,"Fencing Men's Foil, Team",Gold,N/A,N/A
Jakob Brendel,M,GER,1932,Wrestling,"Wrestling Men's Bantamweight, Greco-Roman",Gold,N/A,N/A
Frank Gerald Singlehurst Brewin,M,IND,1932,Hockey,Hockey Men's Hockey,Gold,N/A,N/A
Gyrgy Brdy,M,HUN,1932,Water Polo,Water Polo Men's Water Polo,Gold,N/A,N/A
"Georges Eugne William ""Go"" Buchard",M,FRA,1932,Fencing,"Fencing Men's epee, Team",Gold,N/A,N/A
"Alphonse Adolph Burnand, Jr.",M,USA,1932,Sailing,Sailing Mixed 8 metres,Gold,N/A,N/A
Oreste Capuzzo,M,ITA,1932,Gymnastics,Gymnastics Men's Team All-Around,Gold,N/A,N/A
Mary Louise Carew (-Armstrong),F,USA,1932,Athletics,Athletics Women's 4 x 100 metres Relay,Gold,N/A,N/A
Kenneth Anton Carey,M,USA,1932,Sailing,Sailing Mixed 8 metres,Gold,N/A,N/A
"William Arthur ""Bill"" Carr",M,USA,1932,Athletics,Athletics Men's 400 metres,Gold,N/A,N/A
"William Arthur ""Bill"" Carr",M,USA,1932,Athletics,Athletics Men's 4 x 400 metres Relay,Gold,N/A,N/A
"Richard John ""Dickie"" Carr",M,IND,1932,Hockey,Hockey Men's Hockey,Gold,N/A,N/A
"David Krynauw Enslin ""Dave"" Carstens",M,RSA,1932,Boxing,Boxing Men's Light-Heavyweight,Gold,N/A,N/A
Philippe Louis Eugne Cattiau,M,FRA,1932,Fencing,"Fencing Men's Foil, Team",Gold,N/A,N/A
Philippe Louis Eugne Cattiau,M,FRA,1932,Fencing,"Fencing Men's epee, Team",Gold,N/A,N/A
Louis Chaillot,M,FRA,1932,Cycling,"Cycling Men's Tandem Sprint, 2,000 metres",Gold,N/A,N/A
Harry Dwight Chamberlin,M,USA,1932,Equestrianism,"Equestrianism Men's Three-Day Event, Team",Gold,N/A,N/A
Dhyan Chand Bais,M,IND,1932,Hockey,Hockey Men's Hockey,Gold,N/A,N/A
Charles Chandler,M,USA,1932,Rowing,Rowing Men's Coxed Eights,Gold,N/A,N/A
Owen Porter Churchill,M,USA,1932,Sailing,Sailing Mixed 8 metres,Gold,N/A,N/A
Marco Cimatti,M,ITA,1932,Cycling,"Cycling Men's Team Pursuit, 4,000 metres",Gold,N/A,N/A
Lewis Clive,M,GBR,1932,Rowing,Rowing Men's Coxless Pairs,Gold,N/A,N/A
Georgia V. Coleman (-Gilson),F,USA,1932,Diving,Diving Women's Springboard,Gold,N/A,N/A
"William Hunting ""Bill"" Cooper",M,USA,1932,Sailing,Sailing Mixed 8 metres,Gold,N/A,N/A
Lillian Copeland (Drossin-),F,USA,1932,Athletics,Athletics Women's Discus Throw,Gold,N/A,N/A
Giancarlo Cornaggia-Medici Peterbelli,M,ITA,1932,Fencing,"Fencing Men's epee, Individual",Gold,N/A,N/A
"Clarence Linden ""Buster"" Crabbe, Jr.",M,USA,1932,Swimming,Swimming Men's 400 metres Freestyle,Gold,N/A,N/A
Francis Pierpont Davis,M,USA,1932,Sailing,Sailing Mixed 8 metres,Gold,N/A,N/A
"Clara ""Clare"" Dennis (-Golding)",F,AUS,1932,Swimming,Swimming Women's 200 metres Breaststroke,Gold,N/A,N/A
"Mildred Ella ""Babe"" Didrikson (Didriksen-, -Zaharias)",F,USA,1932,Athletics,Athletics Women's 80 metres Hurdles,Gold,N/A,N/A
"Mildred Ella ""Babe"" Didrikson (Didriksen-, -Zaharias)",F,USA,1932,Athletics,Athletics Women's Javelin Throw,Gold,N/A,N/A
Karl James Dorsey,M,USA,1932,Sailing,Sailing Mixed 8 metres,Gold,N/A,N/A
"David Coombs ""Dave"" Dunlap",M,USA,1932,Rowing,Rowing Men's Coxed Eights,Gold,N/A,N/A
Ren Duverger,M,FRA,1932,Weightlifting,Weightlifting Men's Lightweight,Gold,N/A,N/A
"Hector Monroe ""Hec"" Dyer",M,USA,1932,Athletics,Athletics Men's 4 x 100 metres Relay,Gold,N/A,N/A
Hugh Robert Arthur Edwards,M,GBR,1932,Rowing,Rowing Men's Coxless Pairs,Gold,N/A,N/A
Hugh Robert Arthur Edwards,M,GBR,1932,Rowing,Rowing Men's Coxless Fours,Gold,N/A,N/A
Hans Eller,M,GER,1932,Rowing,Rowing Men's Coxed Fours,Gold,N/A,N/A
Istvn nekes,M,HUN,1932,Boxing,Boxing Men's Flyweight,Gold,N/A,N/A
"Edward Loring ""Eddie"" Flynn",M,USA,1932,Boxing,Boxing Men's Welterweight,Gold,N/A,N/A
Ivan William Fuqua,M,USA,1932,Athletics,Athletics Men's 4 x 400 metres Relay,Gold,N/A,N/A
Evelyn Pearl Furtsch (-Ojeda),F,USA,1932,Athletics,Athletics Women's 4 x 100 metres Relay,Gold,N/A,N/A
"Michael Riley ""Mickey"" Galitzen",M,USA,1932,Diving,Diving Men's Springboard,Gold,N/A,N/A
Eleanor Agnes Garatti-Saville,F,USA,1932,Swimming,Swimming Women's 4 x 100 metres Freestyle Relay,Gold,N/A,N/A
Edward Gardre,M,FRA,1932,Fencing,"Fencing Men's Foil, Team",Gold,N/A,N/A
Rowland David George,M,GBR,1932,Rowing,Rowing Men's Coxless Fours,Gold,N/A,N/A
Aladr Gerevich (-Gerei),M,HUN,1932,Fencing,"Fencing Men's Sabre, Team",Gold,N/A,N/A
Alberto Ghilardi,M,ITA,1932,Cycling,"Cycling Men's Team Pursuit, 4,000 metres",Gold,N/A,N/A
William Evans Garrett Gilmore,M,USA,1932,Rowing,Rowing Men's Double Sculls,Gold,N/A,N/A
Gyula Glykais,M,HUN,1932,Fencing,"Fencing Men's Sabre, Team",Gold,N/A,N/A
Joseph Webster Golinkin,M,USA,1932,Art Competitions,"Art Competitions Mixed Painting, Graphic Arts",Gold,N/A,N/A
"Edward Lansing ""Ed"" Gordon, Jr.",M,USA,1932,Athletics,Athletics Men's Long Jump,Gold,N/A,N/A
Giovanni Gozzi,M,ITA,1932,Wrestling,"Wrestling Men's Featherweight, Greco-Roman",Gold,N/A,N/A
"Norris James ""Norey"" Graham",M,USA,1932,Rowing,Rowing Men's Coxed Eights,Gold,N/A,N/A
"Edgar Laurence ""Dunc"" Gray",M,AUS,1932,Cycling,"Cycling Men's 1,000 metres Time Trial",Gold,N/A,N/A
Gilbert T. Gray,M,USA,1932,Sailing,Sailing Mixed Two Person Keelboat,Gold,N/A,N/A
"Thomas William ""Tommy"" Green",M,GBR,1932,Athletics,Athletics Men's 50 kilometres Walk,Gold,N/A,N/A
Duncan Smith Gregg,M,USA,1932,Rowing,Rowing Men's Coxed Eights,Gold,N/A,N/A
Savino Guglielmetti,M,ITA,1932,Gymnastics,Gymnastics Men's Team All-Around,Gold,N/A,N/A
Savino Guglielmetti,M,ITA,1932,Gymnastics,Gymnastics Men's Horse Vault,Gold,N/A,N/A
George Julius Gulack,M,USA,1932,Gymnastics,Gymnastics Men's Rings,Gold,N/A,N/A
"Horace ""Lefty"" Gwynne",M,CAN,1932,Boxing,Boxing Men's Bantamweight,Gold,N/A,N/A
Olivr Halassy (Haltmayer),M,HUN,1932,Water Polo,Water Polo Men's Water Polo,Gold,N/A,N/A
Winslow William Hall,M,USA,1932,Rowing,Rowing Men's Coxed Eights,Gold,N/A,N/A
Leslie Charles Hammond,M,IND,1932,Hockey,Hockey Men's Hockey,Gold,N/A,N/A
"Thomas ""Tommy"" Hampson",M,GBR,1932,Athletics,Athletics Men's 800 metres,Gold,N/A,N/A
Arthur Charles Hind,M,IND,1932,Hockey,Hockey Men's Hockey,Gold,N/A,N/A
Martin Leonard Hindorff,M,SWE,1932,Sailing,Sailing Mixed 6 metres,Gold,N/A,N/A
Horst Hoeck,M,GER,1932,Rowing,Rowing Men's Coxed Fours,Gold,N/A,N/A
"Eleanor G. Holm (-Jarret, -Rose, -Walker, -Whalen)",F,USA,1932,Swimming,Swimming Women's 100 metres Backstroke,Gold,N/A,N/A
Tore Anton Holm,M,SWE,1932,Sailing,Sailing Mixed 6 metres,Gold,N/A,N/A
Mrton Homonnai (Hlavacsek-),M,HUN,1932,Water Polo,Water Polo Men's Water Polo,Gold,N/A,N/A
