Name,Sex,NOC,Year,Sport,Event,Medal
"Christian Fredrik Maximillian ""Fritz"" Staib",M,NOR,1912,Sailing,Sailing Mixed 12 metres,Gold
Harold Jack Stamper,M,GBR,1912,Football,Football Men's Football,Gold
Irene Steer (-Nicholson),F,GBR,1912,Swimming,Swimming Women's 4 x 100 metres Freestyle Relay,Gold
Yngve Stiernspetz,M,SWE,1912,Gymnastics,"Gymnastics Men's Team All-Around, Swedish System",Gold
Einar Johan Strm,M,NOR,1912,Gymnastics,"Gymnastics Men's Team All-Around, Free System",Gold
Johan Adolf Sundkvist,M,SWE,1912,Athletics,"Athletics Men's Cross-Country, Team",Gold
Karl-Erik Svensson,M,SWE,1912,Gymnastics,"Gymnastics Men's Team All-Around, Swedish System",Gold
Karl-Johan Svensson (Sarland),M,SWE,1912,Gymnastics,"Gymnastics Men's Team All-Around, Swedish System",Gold
"Alfred Gomer Albert ""Alf"" Swahn",M,SWE,1912,Shooting,"Shooting Men's Running Target, Single Shot",Gold
"Alfred Gomer Albert ""Alf"" Swahn",M,SWE,1912,Shooting,"Shooting Men's Running Target, Single Shot, Team",Gold
Oscar Gomer Swahn,M,SWE,1912,Shooting,"Shooting Men's Running Target, Single Shot, Team",Gold
Sidney Ernest Swann,M,GBR,1912,Rowing,Rowing Men's Coxed Eights,Gold
"Norman Stephen ""Norm"" Taber",M,USA,1912,Athletics,"Athletics Men's 3,000 metres, Team",Gold
Armas Rudolf Taipale,M,FIN,1912,Athletics,Athletics Men's Discus Throw,Gold
Armas Rudolf Taipale,M,FIN,1912,Athletics,"Athletics Men's Discus Throw, Both Hands",Gold
Carl Josef Ternstrm,M,SWE,1912,Athletics,"Athletics Men's Cross-Country, Team",Gold
Carl Gustav Thaulow,M,NOR,1912,Sailing,Sailing Mixed 12 metres,Gold
"James Francis ""Jim"" Thorpe",M,USA,1912,Athletics,Athletics Men's Pentathlon,Gold
"James Francis ""Jim"" Thorpe",M,USA,1912,Athletics,Athletics Men's Decathlon,Gold
Gabriel Thorstensen,M,NOR,1912,Gymnastics,"Gymnastics Men's Team All-Around, Free System",Gold
Thomas Thorstensen,M,NOR,1912,Gymnastics,"Gymnastics Men's Team All-Around, Free System",Gold
Amde Georges Marie Thub,M,FRA,1912,Sailing,Sailing Mixed 6 metres,Gold
Gaston Marie Thub,M,FRA,1912,Sailing,Sailing Mixed 6 metres,Gold
Jacques Marie Thub,M,FRA,1912,Sailing,Sailing Mixed 6 metres,Gold
Knut Emanuel Torell,M,SWE,1912,Gymnastics,"Gymnastics Men's Team All-Around, Swedish System",Gold
Pter Tth,M,HUN,1912,Fencing,"Fencing Men's Sabre, Team",Gold
"Konstantinos ""Kostas"" Tsiklitiras",M,GRE,1912,Athletics,Athletics Men's Standing Long Jump,Gold
Adolfo Tunesi,M,ITA,1912,Gymnastics,Gymnastics Men's Team All-Around,Gold
Emil Ernst Vre (-Viln),M,FIN,1912,Wrestling,"Wrestling Men's Lightweight, Greco-Roman",Gold
Johan Hbner von Holst,M,SWE,1912,Shooting,"Shooting Men's Dueling Pistol, 30 metres, Team",Gold
Johan Hbner von Holst,M,SWE,1912,Shooting,"Shooting Men's Small-Bore Rifle, Disappearing Target, 25 metres, Team",Gold
Hans Robert von Rosen,M,SWE,1912,Equestrianism,"Equestrianism Men's Jumping, Team",Gold
Nils Knutsen Voss (-Repl),M,NOR,1912,Gymnastics,"Gymnastics Men's Team All-Around, Free System",Gold
Harold Adrian Walden,M,GBR,1912,Football,Football Men's Football,Gold
Erik Gustaf Wallerius,M,SWE,1912,Sailing,Sailing Mixed 10 metres,Gold
Johan Harald Alfred Wallin,M,SWE,1912,Sailing,Sailing Mixed 10 metres,Gold
Henry Bensley Wells,M,GBR,1912,Rowing,Rowing Men's Coxed Eights,Gold
Oskar Edvard Wennerholm,M,SWE,1912,Gymnastics,"Gymnastics Men's Team All-Around, Swedish System",Gold
Lajos Werkner,M,HUN,1912,Fencing,"Fencing Men's Sabre, Team",Gold
Clas-Axel Wersll,M,SWE,1912,Gymnastics,"Gymnastics Men's Team All-Around, Swedish System",Gold
Karl Hugo Wieslander,M,SWE,1912,Athletics,Athletics Men's Decathlon,Gold
Hermann Wilker,M,GER,1912,Rowing,"Rowing Men's Coxed Fours, Outriggers",Gold
George Wilkinson,M,GBR,1912,Water Polo,Water Polo Men's Water Polo,Gold
Victor Willems,M,BEL,1912,Fencing,"Fencing Men's epee, Team",Gold
David Lepold Wiman,M,SWE,1912,Gymnastics,"Gymnastics Men's Team All-Around, Swedish System",Gold
Walter Winans,M,USA,1912,Art Competitions,Art Competitions Mixed Sculpturing,Gold
Charles Lyndhurst Winslow,M,RSA,1912,Tennis,Tennis Men's Singles,Gold
Charles Lyndhurst Winslow,M,RSA,1912,Tennis,Tennis Men's Doubles,Gold
Vivian John Woodward,M,GBR,1912,Football,Football Men's Football,Gold
Leslie Graham Wormald,M,GBR,1912,Rowing,Rowing Men's Coxed Eights,Gold
Edward Gordon Dundas Wright,M,GBR,1912,Football,Football Men's Football,Gold
Giorgio Zampori,M,ITA,1912,Gymnastics,Gymnastics Men's Team All-Around,Gold
Umberto Zanolini,M,ITA,1912,Gymnastics,Gymnastics Men's Team All-Around,Gold
Angelo Zorzi,M,ITA,1912,Gymnastics,Gymnastics Men's Team All-Around,Gold
Fausto Alesio Acke (Padovini-),M,SWE,1920,Gymnastics,"Gymnastics Men's Team All-Around, Swedish System",Gold
"Charles Edwin ""Charley"" Ackerly",M,USA,1920,Wrestling,"Wrestling Men's Featherweight, Freestyle",Gold
John Creyghton Ainsworth-Davis,M,GBR,1920,Athletics,Athletics Men's 4 x 400 metres Relay,Gold
Georg Albert Christian Albertsen,M,DEN,1920,Gymnastics,"Gymnastics Men's Team All-Around, Free System",Gold
Alphonse Allaert,M,BEL,1920,Archery,"Archery Men's Target Archery, 33 metres, Team",Gold
Alphonse Allaert,M,BEL,1920,Archery,"Archery Men's Target Archery, 50 metres, Team",Gold
Arthur Allers,M,NOR,1920,Sailing,Sailing Mixed 12 metres,Gold
Antonio Allocchio,M,ITA,1920,Fencing,"Fencing Men's epee, Team",Gold
Carl Rudolf Svend Andersen,M,DEN,1920,Gymnastics,"Gymnastics Men's Team All-Around, Free System",Gold
Albert Per Andersson,M,SWE,1920,Gymnastics,"Gymnastics Men's Team All-Around, Swedish System",Gold
Karl Arvid Andersson (-Holtman),M,SWE,1920,Gymnastics,"Gymnastics Men's Team All-Around, Swedish System",Gold
Arnaldo Andreoli,M,ITA,1920,Gymnastics,Gymnastics Men's Team All-Around,Gold
"Kaarlo Johan Jalmari ""Kalle"" Anttila",M,FIN,1920,Wrestling,"Wrestling Men's Lightweight, Freestyle",Gold
Charles Archer Arentz,M,NOR,1920,Sailing,Sailing Mixed 10 metres,Gold
"Marcus Mills Pomeroy ""Mark"" Arie",M,USA,1920,Shooting,Shooting Men's Trap,Gold
"Marcus Mills Pomeroy ""Mark"" Arie",M,USA,1920,Shooting,"Shooting Men's Trap, Team",Gold
Charles Sydney Atkin,M,GBR,1920,Hockey,Hockey Men's Hockey,Gold
Helge Gustaf Samuel Bckander,M,SWE,1920,Gymnastics,"Gymnastics Men's Team All-Around, Swedish System",Gold
Baldo Baldi,M,ITA,1920,Fencing,"Fencing Men's Foil, Team",Gold
Baldo Baldi,M,ITA,1920,Fencing,"Fencing Men's Sabre, Team",Gold
Flix Balyu,M,BEL,1920,Football,Football Men's Football,Gold
Frederick Whitfield Barrett,M,GBR,1920,Polo,Polo Men's Polo,Gold
Dsir Bastin,M,BEL,1920,Football,Football Men's Football,Gold
Ettore Bellotto,M,ITA,1920,Gymnastics,Gymnastics Men's Team All-Around,Gold
Bengt Folke Bengtsson,M,SWE,1920,Gymnastics,"Gymnastics Men's Team All-Around, Swedish System",Gold
Gsta Ragnar Bengtsson (-Bewert),M,SWE,1920,Sailing,Sailing Mixed 30 metres,Gold
"John Hadfield ""Jack"" Bennett",M,GBR,1920,Hockey,Hockey Men's Hockey,Gold
"Robert John ""Bobby"" Benson",M,CAN,1920,Ice Hockey,Ice Hockey Men's Ice Hockey,Gold
Pietro Bianchi,M,ITA,1920,Gymnastics,Gymnastics Men's Team All-Around,Gold
Carl Fabian Birck,M,SWE,1920,Gymnastics,"Gymnastics Men's Team All-Around, Swedish System",Gold
Halvor Olai Birkeland (Olsen-),M,NOR,1920,Sailing,Sailing Mixed 12 metres,Gold
Rasmus Ingvald Birkeland (Olsen-),M,NOR,1920,Sailing,Sailing Mixed 12 metres,Gold
Ethelda Marguerite Bleibtrey (-Schlatke),F,USA,1920,Swimming,Swimming Women's 100 metres Freestyle,Gold
Ethelda Marguerite Bleibtrey (-Schlatke),F,USA,1920,Swimming,Swimming Women's 300 metres Freestyle,Gold
Ethelda Marguerite Bleibtrey (-Schlatke),F,USA,1920,Swimming,Swimming Women's 4 x 100 metres Freestyle Relay,Gold
Fernando Bonatti,M,ITA,1920,Gymnastics,Gymnastics Men's Team All-Around,Gold
Horace Robert Bonser,M,USA,1920,Shooting,"Shooting Men's Trap, Team",Gold
Martin Luther Borthen,M,NOR,1920,Sailing,Sailing Mixed 12 metres,Gold
Filippo Emanuele Bottino,M,ITA,1920,Weightlifting,Weightlifting Men's Heavyweight,Gold
Danil Ephrem Jean Odiel Bouckaert,M,BEL,1920,Equestrianism,"Equestrianism Men's Vaulting, Individual",Gold
Danil Ephrem Jean Odiel Bouckaert,M,BEL,1920,Equestrianism,"Equestrianism Men's Vaulting, Team",Gold
Tullio Bozza,M,ITA,1920,Fencing,"Fencing Men's epee, Team",Gold
"Raymond Cope ""Ray"" Bracken",M,USA,1920,Shooting,"Shooting Men's Free Pistol, 50 metres, Team",Gold
Mathieu Bragard,M,BEL,1920,Football,Football Men's Football,Gold
Andreas Bang Brecke,M,NOR,1920,Sailing,Sailing Mixed 6 metres,Gold
"Horace Hallock ""Hal"" Brown",M,USA,1920,Athletics,"Athletics Men's 3,000 metres, Team",Gold
"Wilhelm ""Willy"" Brderlin",M,SUI,1920,Rowing,Rowing Men's Coxed Fours,Gold
Julien Louis Brul,M,FRA,1920,Archery,"Archery Men's Target Archery, 50 metres, Individual",Gold
Frdric-Albert Gustave Bruynseels,M,BEL,1920,Sailing,Sailing Mixed 6 metres,Gold
Charles G. Bugbee,M,GBR,1920,Water Polo,Water Polo Men's Water Polo,Gold
Guy Montagu Butler,M,GBR,1920,Athletics,Athletics Men's 4 x 400 metres Relay,Gold
"Jacob Walter ""Wally"" Byron",M,CAN,1920,Ice Hockey,Ice Hockey Men's Ice Hockey,Gold
Ernest Cadine,M,FRA,1920,Weightlifting,Weightlifting Men's Light-Heavyweight,Gold
Luigi Cambiaso,M,ITA,1920,Gymnastics,Gymnastics Men's Team All-Around,Gold
Colin Herbert Campbell,M,GBR,1920,Hockey,Hockey Men's Hockey,Gold
George Walter Canning,M,GBR,1920,Tug-Of-War,Tug-Of-War Men's Tug-Of-War,Gold
Giovanni Canova,M,ITA,1920,Fencing,"Fencing Men's epee, Team",Gold
Fernand Canteloube,M,FRA,1920,Cycling,"Cycling Men's Road Race, Team",Gold
Arnaldo Carli,M,ITA,1920,Cycling,"Cycling Men's Team Pursuit, 4,000 metres",Gold
"Bernard ""Berend"" Carp",M,NED,1920,Sailing,Sailing Mixed 6.5 metres,Gold
"Johan Robert ""Joop"" Carp",M,NED,1920,Sailing,Sailing Mixed 6.5 metres,Gold
"Daniel Brendon ""Dan"" Carroll",M,USA,1920,Rugby,Rugby Men's Rugby,Gold
Harold Kennedy Cassels,M,GBR,1920,Hockey,Hockey Men's Hockey,Gold
Carl Erik Charpentier,M,SWE,1920,Gymnastics,"Gymnastics Men's Team All-Around, Swedish System",Gold
Lauritz Christian Christiansen,M,NOR,1920,Sailing,Sailing Mixed 12 metres,Gold
"Jay Clark, Jr.",M,USA,1920,Shooting,"Shooting Men's Trap, Team",Gold
"Sherman Rockwell ""Sherm"" Clark",M,USA,1920,Rowing,Rowing Men's Coxed Eights,Gold
Anna Stefanie Nanny Fryland Clausen (-Fryland),F,DEN,1920,Diving,Diving Women's Plain High,Gold
Edmond Cloetens,M,BEL,1920,Archery,"Archery Men's Pole Archery, Large Birds, Individual",Gold
Edmond Cloetens,M,BEL,1920,Archery,"Archery Men's Pole Archery, Small Birds, Team",Gold
Edmond Cloetens,M,BEL,1920,Archery,"Archery Men's Pole Archery, Large Birds, Team",Gold
Robert Henry Schofield Coleman,M,GBR,1920,Sailing,Sailing Mixed 7 metres,Gold
Albric Collin,M,BEL,1920,Art Competitions,Art Competitions Mixed Sculpturing,Gold
Luigi Contessi,M,ITA,1920,Gymnastics,Gymnastics Men's Team All-Around,Gold
Harold Douglas R Cooke,M,GBR,1920,Hockey,Hockey Men's Hockey,Gold
Robert Victor Joseph Coppe,M,BEL,1920,Football,Football Men's Football,Gold
mile Franois Cornellie,M,BEL,1920,Sailing,Sailing Mixed 6 metres,Gold
Florimond Joseph Cornellie,M,BEL,1920,Sailing,Sailing Mixed 6 metres,Gold
Tommaso Costantino,M,ITA,1920,Fencing,"Fencing Men's Foil, Team",Gold
Tommaso Costantino,M,ITA,1920,Fencing,"Fencing Men's epee, Team",Gold
Paul Vincent Costello,M,USA,1920,Rowing,Rowing Men's Double Sculls,Gold
Gian Carlo Costigliolo,M,ITA,1920,Gymnastics,Gymnastics Men's Team All-Around,Gold
Luigi Costigliolo,M,ITA,1920,Gymnastics,Gymnastics Men's Team All-Around,Gold
Eric Bertram Crockford,M,GBR,1920,Hockey,Hockey Men's Hockey,Gold
Jean De Bie,M,BEL,1920,Football,Football Men's Football,Gold
"Petrus Godefridus ""Piet"" de Brouwer",M,NED,1920,Archery,"Archery Men's Target Archery, 28 metres, Team",Gold
Guido De Felip,M,ITA,1920,Rowing,Rowing Men's Coxed Pairs,Gold
"Franois ""Frans"" De Haes",M,BEL,1920,Weightlifting,Weightlifting Men's Featherweight,Gold
Edmond De Knibber,M,BEL,1920,Archery,"Archery Men's Target Archery, 33 metres, Team",Gold
Edmond De Knibber,M,BEL,1920,Archery,"Archery Men's Target Archery, 50 metres, Team",Gold
Jrme De Mayer,M,BEL,1920,Archery,"Archery Men's Target Archery, 33 metres, Team",Gold
Jrme De Mayer,M,BEL,1920,Archery,"Archery Men's Target Archery, 50 metres, Team",Gold
"William Henry ""Billy"" Dean",M,GBR,1920,Water Polo,Water Polo Men's Water Polo,Gold
"Maxime Omer Mathieu ""Max"" Omer-Dcugis",M,FRA,1920,Tennis,Tennis Mixed Doubles,Gold
Louis Delcon,M,BEL,1920,Archery,"Archery Men's Target Archery, 33 metres, Team",Gold
Louis Delcon,M,BEL,1920,Archery,"Archery Men's Target Archery, 50 metres, Team",Gold
Georges Henri Dtreille,M,FRA,1920,Cycling,"Cycling Men's Road Race, Team",Gold
"Michael Aloysius ""Mike"" Devaney",M,USA,1920,Athletics,"Athletics Men's 3,000 metres, Team",Gold
Viggo Valdemar Dibbern,M,DEN,1920,Gymnastics,"Gymnastics Men's Team All-Around, Free System",Gold
"Charles Webster ""Charlie"" Doe, Jr.",M,USA,1920,Rugby,Rugby Men's Rugby,Gold
Giuseppe Domenichelli,M,ITA,1920,Gymnastics,Gymnastics Men's Team All-Around,Gold
Ivan Chandler Dresser,M,USA,1920,Athletics,"Athletics Men's 3,000 metres, Team",Gold
Gustaf Peder Wilhelm Dyrssen,M,SWE,1920,Modern Pentathlon,Modern Pentathlon Men's Individual,Gold
"Edward Patrick Francis ""Eddie"" Eagan",M,USA,1920,Boxing,Boxing Men's Light-Heavyweight,Gold
Sture Henrik Ericsson (-Ewrus),M,SWE,1920,Gymnastics,"Gymnastics Men's Team All-Around, Swedish System",Gold
Otto Gabriel Grubbe Dietrichson Falkenberg,M,NOR,1920,Sailing,Sailing Mixed 10 metres,Gold
Dennis Fenton,M,USA,1920,Shooting,"Shooting Men's Free Rifle, Three Positions, 300 metres, Team",Gold
Dennis Fenton,M,USA,1920,Shooting,"Shooting Men's Military Rifle, Prone, 600 metres, Team",Gold
Dennis Fenton,M,USA,1920,Shooting,"Shooting Men's Small Bore-Rifle, Standing, 50 metres, Team",Gold
Roberto Ferrari,M,ITA,1920,Gymnastics,Gymnastics Men's Team All-Around,Gold
Ruggero Ferrario,M,ITA,1920,Cycling,"Cycling Men's Team Pursuit, 4,000 metres",Gold
Andr Joseph Fierens,M,BEL,1920,Football,Football Men's Football,Gold
Victor Louis Fierens,M,BEL,1920,Archery,"Archery Men's Target Archery, 33 metres, Team",Gold
Victor Louis Fierens,M,BEL,1920,Archery,"Archery Men's Target Archery, 50 metres, Team",Gold
Louis Casimir Finet,M,BEL,1920,Equestrianism,"Equestrianism Men's Vaulting, Team",Gold
George Winthrop Fish,M,USA,1920,Rugby,Rugby Men's Rugby,Gold
"Morris ""Bud"" Fisher",M,USA,1920,Shooting,"Shooting Men's Free Rifle, Three Positions, 300 metres",Gold
"Morris ""Bud"" Fisher",M,USA,1920,Shooting,"Shooting Men's Free Rifle, Three Positions, 300 metres, Team",Gold
"Morris ""Bud"" Fisher",M,USA,1920,Shooting,"Shooting Men's Military Rifle, Prone, 300 metres, Team",Gold
"James Paul ""Jim"" Fitzpatrick",M,USA,1920,Rugby,Rugby Men's Rugby,Gold
Firmin Flamand,M,BEL,1920,Archery,"Archery Men's Pole Archery, Small Birds, Team",Gold
Firmin Flamand,M,BEL,1920,Archery,"Archery Men's Pole Archery, Large Birds, Team",Gold
Frank Kent Foss,M,USA,1920,Athletics,Athletics Men's Pole Vault,Gold
Aage Valdemar Harald Frandsen,M,DEN,1920,Gymnastics,"Gymnastics Men's Team All-Around, Free System",Gold
Karl Telford Frederick,M,USA,1920,Shooting,"Shooting Men's Military Pistol, Team",Gold
Karl Telford Frederick,M,USA,1920,Shooting,"Shooting Men's Free Pistol, 50 metres",Gold
Karl Telford Frederick,M,USA,1920,Shooting,"Shooting Men's Free Pistol, 50 metres, Team",Gold
"Sigurdur Franklin ""Frank"" Fredrickson",M,CAN,1920,Ice Hockey,Ice Hockey Men's Ice Hockey,Gold
Carlo Fregosi,M,ITA,1920,Gymnastics,Gymnastics Men's Team All-Around,Gold
"Kristmundur N. ""Chris"" Fridfinnson",M,CAN,1920,Ice Hockey,Ice Hockey Men's Ice Hockey,Gold
Johan Mohr Friele,M,NOR,1920,Sailing,Sailing Mixed 12 metres,Gold
Ugo Frigerio,M,ITA,1920,Athletics,"Athletics Men's 3,000 metres Walk",Gold
Ugo Frigerio,M,ITA,1920,Athletics,Athletics Men's 10 kilometres Walk,Gold
"Oskar David ""Oskari"" Friman",M,FIN,1920,Wrestling,"Wrestling Men's Featherweight, Greco-Roman",Gold
Paul Franois Nicolas Fritsch,M,FRA,1920,Boxing,Boxing Men's Featherweight,Gold
"Vincent Joseph ""Vince"" Gallagher, Jr.",M,USA,1920,Rowing,Rowing Men's Coxed Eights,Gold
Henri Gance,M,FRA,1920,Weightlifting,Weightlifting Men's Middleweight,Gold
Francesco Gargano,M,ITA,1920,Fencing,"Fencing Men's Sabre, Team",Gold
"Frank ""Frankie"" Genaro (DiGennara-)",M,USA,1920,Boxing,Boxing Men's Flyweight,Gold
Henry George,M,BEL,1920,Cycling,Cycling Men's 50 kilometres,Gold
Romualdo Ghiglione,M,ITA,1920,Gymnastics,Gymnastics Men's Team All-Around,Gold
Robert Roach Giertsen,M,NOR,1920,Sailing,Sailing Mixed 10 metres,Gold
Willy Carl Jens Gilbert,M,NOR,1920,Sailing,Sailing Mixed 10 metres,Gold
"Francesco ""Franco"" Giorgetti",M,ITA,1920,Cycling,"Cycling Men's Team Pursuit, 4,000 metres",Gold
Marcel Ren Gaspard Gobillot,M,FRA,1920,Cycling,"Cycling Men's Road Race, Team",Gold
"Magnus ""Mike"" Goodman",M,CAN,1920,Ice Hockey,Ice Hockey Men's Ice Hockey,Gold
Gillis Emanuel Grafstrm,M,SWE,1920,Figure Skating,Figure Skating Men's Singles,Gold
Nils Konrad Granstrm,M,SWE,1920,Gymnastics,"Gymnastics Men's Team All-Around, Swedish System",Gold
"Edwin Darius ""Ed"" Graves, Jr.",M,USA,1920,Rowing,Rowing Men's Coxed Eights,Gold
Cecil Richmond Griffiths,M,GBR,1920,Athletics,Athletics Men's 4 x 400 metres Relay,Gold
Irene May Guest (-Loog),F,USA,1920,Swimming,Swimming Women's 4 x 100 metres Freestyle Relay,Gold
Joseph Guillemot,M,FRA,1920,Athletics,"Athletics Men's 5,000 metres",Gold
Bror Helge Gustafsson,M,SWE,1920,Gymnastics,"Gymnastics Men's Team All-Around, Swedish System",Gold
ke Simon Hger,M,SWE,1920,Gymnastics,"Gymnastics Men's Team All-Around, Swedish System",Gold
"Harold ""Slim"" Halderson",M,CAN,1920,Ice Hockey,Ice Hockey Men's Ice Hockey,Gold
Emile Jean Ghislain Hanse,M,BEL,1920,Football,Football Men's Football,Gold
Louis Joseph Harant,M,USA,1920,Shooting,"Shooting Men's Military Pistol, Team",Gold
Harry Eustace Haslam,M,GBR,1920,Hockey,Hockey Men's Hockey,Gold
Kaspar Fredrik Hassel,M,NOR,1920,Sailing,Sailing Mixed 12 metres,Gold
Georges Hebdin,M,BEL,1920,Football,Football Men's Football,Gold
Ture Eskil Hedman,M,SWE,1920,Gymnastics,"Gymnastics Men's Team All-Around, Swedish System",Gold
Hugo Alexander Helsten,M,DEN,1920,Gymnastics,"Gymnastics Men's Team All-Around, Free System",Gold
Joseph Hermans,M,BEL,1920,Archery,"Archery Men's Pole Archery, Small Birds, Team",Gold
Joseph Hermans,M,BEL,1920,Archery,"Archery Men's Pole Archery, Large Birds, Team",Gold
Erik Johan Herseth,M,NOR,1920,Sailing,Sailing Mixed 10 metres,Gold
Albert George Hill,M,GBR,1920,Athletics,Athletics Men's 800 metres,Gold
Albert George Hill,M,GBR,1920,Athletics,"Athletics Men's 1,500 metres",Gold
Cornelis Nicolaas Hin,M,NED,1920,Sailing,Sailing Mixed 12 foot,Gold
"Franciscus Fidelio Joseph ""Frans"" Hin",M,NED,1920,Sailing,Sailing Mixed 12 foot,Gold
"Johannes Jozef Antonius ""Johan"" Hin",M,NED,1920,Sailing,Sailing Mixed 12 foot,Gold
Percy Hodge,M,GBR,1920,Athletics,"Athletics Men's 3,000 metres Steeplechase",Gold
Thorleif H. Holbye,M,NOR,1920,Sailing,Sailing Mixed 8 metres,Gold
Harry Holm,M,DEN,1920,Gymnastics,"Gymnastics Men's Team All-Around, Free System",Gold
Tore Anton Holm,M,SWE,1920,Sailing,Sailing Mixed 40 metres,Gold
Yngve Robert Holm,M,SWE,1920,Sailing,Sailing Mixed 40 metres,Gold
"Frederick William ""Fred"" Holmes",M,GBR,1920,Tug-Of-War,Tug-Of-War Men's Tug-Of-War,Gold
Sigurd Holter,M,NOR,1920,Sailing,Sailing Mixed 10 metres,Gold
Frederick Harkness Humphreys,M,GBR,1920,Tug-Of-War,Tug-Of-War Men's Tug-Of-War,Gold
"Joseph Garvin ""Lou"" Hunter",M,USA,1920,Rugby,Rugby Men's Rugby,Gold
"Joseph ""Joe"" Jackson",M,USA,1920,Shooting,"Shooting Men's Military Rifle, Prone, 300 metres, Team",Gold
"Joseph ""Joe"" Jackson",M,USA,1920,Shooting,"Shooting Men's Military Rifle, Prone, 600 metres, Team",Gold
"Joseph ""Joe"" Jackson",M,USA,1920,Shooting,"Shooting Men's Military Rifle, 300 metres and 600 metres, Prone, Team",Gold
Virgil Victor Jacomini,M,USA,1920,Rowing,Rowing Men's Coxed Eights,Gold
Alf Kristian Brun Jakobsen,M,NOR,1920,Sailing,Sailing Mixed 8 metres,Gold
Walter Andreas Jakobsson,M,FIN,1920,Figure Skating,Figure Skating Mixed Pairs,Gold
Ludovika Antje Margareta Jakobsson-Eilers,F,FIN,1920,Figure Skating,Figure Skating Mixed Pairs,Gold
Gunnar Petter Jamvold,M,NOR,1920,Sailing,Sailing Mixed 10 metres,Gold
Peter Krefting Jamvold,M,NOR,1920,Sailing,Sailing Mixed 10 metres,Gold
Carl August Herold Jansson,M,DEN,1920,Gymnastics,"Gymnastics Men's Team All-Around, Free System",Gold
"Konrad Jonasson ""Konnie"" Johannesson",M,CAN,1920,Ice Hockey,Ice Hockey Men's Ice Hockey,Gold
Thorsten Arthur Johansen,M,NOR,1920,Shooting,"Shooting Men's Running Target, Double Shot, Team",Gold
Claes Edvin Johanson,M,SWE,1920,Wrestling,"Wrestling Men's Light-Heavyweight, Greco-Roman",Gold
Carl Hugo Johansson,M,SWE,1920,Shooting,"Shooting Men's Military Rifle, Prone, 600 metres",Gold
Robert Jacob Johnsen,M,DEN,1920,Gymnastics,"Gymnastics Men's Team All-Around, Free System",Gold
Sven Olof Johnson,M,SWE,1920,Gymnastics,"Gymnastics Men's Team All-Around, Swedish System",Gold
"Donald Hendrik ""Don"" Johnston",M,USA,1920,Rowing,Rowing Men's Coxed Eights,Gold
"Christopher ""Chris"" Jones",M,GBR,1920,Water Polo,Water Polo Men's Water Polo,Gold
"Sven Olof ""Sven-Olof"" Jonsson",M,SWE,1920,Gymnastics,"Gymnastics Men's Team All-Around, Swedish System",Gold
"William Conrad ""Bill"" Jordan",M,USA,1920,Rowing,Rowing Men's Coxed Eights,Gold
Claus Ludvig Juell,M,NOR,1920,Sailing,Sailing Mixed 10 metres,Gold
Christian Willumsen Juhl,M,DEN,1920,Gymnastics,"Gymnastics Men's Team All-Around, Free System",Gold
Magda Maria Henrietta Julin (Mauroy-),F,SWE,1920,Figure Skating,Figure Skating Women's Singles,Gold
Paal Kaasen,M,NOR,1920,Sailing,Sailing Mixed 6 metres,Gold
Duke Paoa Kahino Makoe Hulikohoa Kahanamoku,M,USA,1920,Swimming,Swimming Men's 100 metres Freestyle,Gold
Duke Paoa Kahino Makoe Hulikohoa Kahanamoku,M,USA,1920,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay,Gold
Pua Kele Kealoha,M,USA,1920,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay,Gold
Warren Daniels Kealoha,M,USA,1920,Swimming,Swimming Men's 100 metres Backstroke,Gold
"Michael ""Mike"" Kelly",M,USA,1920,Shooting,"Shooting Men's Military Pistol, Team",Gold
"Michael ""Mike"" Kelly",M,USA,1920,Shooting,"Shooting Men's Free Pistol, 50 metres, Team",Gold
"John Brenden ""Jack"" Kelly, Sr.",M,USA,1920,Rowing,Rowing Men's Single Sculls,Gold
"John Brenden ""Jack"" Kelly, Sr.",M,USA,1920,Rowing,Rowing Men's Double Sculls,Gold
Clyde Whitlock King,M,USA,1920,Rowing,Rowing Men's Coxed Eights,Gold
Morris Marshall Kirksey,M,USA,1920,Rugby,Rugby Men's Rugby,Gold
Morris Marshall Kirksey,M,USA,1920,Athletics,Athletics Men's 4 x 100 metres Relay,Gold
"Johan Pietari ""Hannes"" Kolehmainen",M,FIN,1920,Athletics,Athletics Men's Marathon,Gold
Clas Henrik Magnus Knig,M,SWE,1920,Equestrianism,"Equestrianism Men's Jumping, Team",Gold
Magnus Andreas Thulstrup Clasen Konow,M,NOR,1920,Sailing,Sailing Mixed 8 metres,Gold
Fredrik Teodor Koskenniemi,M,FIN,1920,Athletics,"Athletics Men's Cross-Country, Team",Gold
Thorleif Asbjrn Kristoffersen,M,NOR,1920,Sailing,Sailing Mixed 8 metres,Gold
"Louis Edward ""Lou"" Kuehn",M,USA,1920,Diving,Diving Men's Springboard,Gold
Thomas Glasson Lance,M,GBR,1920,Cycling,"Cycling Men's Tandem Sprint, 2,000 metres",Gold
"Richmond Wilcox ""Dick"" Landon",M,USA,1920,Athletics,Athletics Men's High Jump,Gold
"Alfred Page ""Al"" Lane",M,USA,1920,Shooting,"Shooting Men's Military Pistol, Team",Gold
"Alfred Page ""Al"" Lane",M,USA,1920,Shooting,"Shooting Men's Free Pistol, 50 metres, Team",Gold
